sample_id,image_name,engagement,behavior,short_text,detailed_text,attention_score,engagement_score,keywords,text_length
38615ca3-f04f-4a01-8793-a4bb362fbd69,0020.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.42,0.94,"focus, attention",3
667b0dd6-edcf-4b9e-8c9f-fbeff5165fc3,0021.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.52,0.52,"learning, fatigue",3
58434a4d-a70c-4757-a01f-3a866654ccc8,0032.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.76,0.36,"attention, fatigue",3
832bb6a5-b8bb-4fea-ae1e-f7574e6aacd6,0033.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.38,0.62,"learning, fatigue",3
d6ba41cc-39e7-47e1-af24-b6b807a91405,0034.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.92,0.81,"focus, fatigue",3
42765688-50ad-46eb-bbc0-783a5e2f8de2,0035.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.61,0.43,"focus, attention",3
4c266439-59f6-4fac-94a7-7fad59eb93a5,0036.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.92,0.85,"attention, learning",3
58373c1a-6b9a-44b8-a3d2-f22720ea6b51,0037.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.6,0.76,"focus, attention",3
fce242f7-2c20-4e40-b2d4-cc9447b96b2c,0038.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.61,0.36,"fatigue, focus",3
23c31811-708c-4ec4-ad77-3fd609978d78,0039.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.59,0.45,"fatigue, learning",3
3a587621-58d0-471b-a3f2-9b006f3beac3,0040.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.58,0.76,"attention, learning",3
4911a350-8ab9-4662-bd2a-1ebe017fc4e9,0041.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.42,0.99,"focus, learning",3
dfc60cba-9662-461c-bad3-71bdd414da14,0042.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.33,0.7,"focus, learning",3
ff80d3c0-5b2d-4407-a1c6-224e8bb2dbda,0043.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.82,0.36,"fatigue, attention",3
dada2fc6-0fb7-4cf3-b063-6ddcd03caf66,0044.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.74,0.89,"focus, learning",3
96dcf64e-7ee1-4196-b080-43ea5342b999,0045.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.91,0.98,"learning, attention",3
f69ee7d9-8b05-4748-97fe-6394edb5cf0b,0046.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.48,0.87,"fatigue, attention",3
83ca38d3-432d-4868-aacf-3125b544f727,0047.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,1.0,0.36,"learning, attention",3
e35d8f79-1fdc-4262-85d5-6ebc181cf83d,0048.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.53,0.6,"fatigue, focus",3
06836a23-49f6-4220-886a-013da2028757,0049.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.32,0.9,"attention, fatigue",3
1db5ea42-2781-4a51-9242-f696e38f414b,0050.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.43,0.61,"learning, fatigue",3
7ad09796-8255-46d7-86b8-d54ee5455928,0051.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.68,0.57,"focus, learning",3
a0d58147-6a01-4130-a03c-3d35454bb577,0052.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.92,0.76,"attention, learning",3
d64deae8-b64e-46fc-8793-d83815754f2a,0053.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.66,0.98,"fatigue, focus",3
5469b487-eb55-4ae6-ba17-982a59062a05,0054.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.61,0.87,"focus, fatigue",3
bf8b9908-e1d1-4a64-a512-907d614bf852,0055.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.75,0.31,"focus, fatigue",3
d83a6742-45a2-42ea-a659-aaf5840ea1be,0056.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.97,0.6,"learning, focus",3
3dd66c27-5aa2-4a33-a8a3-3060fdb7279a,0057.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.59,0.62,"attention, fatigue",3
