sample_id,image_name,engagement,behavior,age,gender,device,attention_score,session_duration
38615ca3-f04f-4a01-8793-a4bb362fbd69,0020.jpg,Engaged,Confused,23,Male,Laptop,0.3,100
667b0dd6-edcf-4b9e-8c9f-fbeff5165fc3,0021.jpg,Engaged,Confused,22,Female,Laptop,0.72,51
58434a4d-a70c-4757-a01f-3a866654ccc8,0032.jpg,Engaged,Confused,24,Female,Mobile,0.67,53
832bb6a5-b8bb-4fea-ae1e-f7574e6aacd6,0033.jpg,Engaged,Confused,22,Male,Mobile,0.84,75
d6ba41cc-39e7-47e1-af24-b6b807a91405,0034.jpg,Engaged,Confused,19,Male,Tablet,0.37,70
42765688-50ad-46eb-bbc0-783a5e2f8de2,0035.jpg,Engaged,Confused,19,Female,Laptop,0.69,40
4c266439-59f6-4fac-94a7-7fad59eb93a5,0036.jpg,Engaged,Confused,21,Female,Tablet,0.51,92
58373c1a-6b9a-44b8-a3d2-f22720ea6b51,0037.jpg,Engaged,Confused,25,Female,Tablet,0.66,86
fce242f7-2c20-4e40-b2d4-cc9447b96b2c,0038.jpg,Engaged,Confused,19,Male,Mobile,0.82,43
23c31811-708c-4ec4-ad77-3fd609978d78,0039.jpg,Engaged,Confused,24,Male,Tablet,0.76,79
3a587621-58d0-471b-a3f2-9b006f3beac3,0040.jpg,Engaged,Confused,19,Female,Laptop,0.64,81
4911a350-8ab9-4662-bd2a-1ebe017fc4e9,0041.jpg,Engaged,Confused,22,Male,Mobile,0.91,23
dfc60cba-9662-461c-bad3-71bdd414da14,0042.jpg,Engaged,Confused,24,Male,Laptop,0.99,107
ff80d3c0-5b2d-4407-a1c6-224e8bb2dbda,0043.jpg,Engaged,Confused,20,Male,Mobile,0.77,67
dada2fc6-0fb7-4cf3-b063-6ddcd03caf66,0044.jpg,Engaged,Confused,25,Male,Laptop,0.44,118
96dcf64e-7ee1-4196-b080-43ea5342b999,0045.jpg,Engaged,Confused,22,Male,Laptop,0.44,74
f69ee7d9-8b05-4748-97fe-6394edb5cf0b,0046.jpg,Engaged,Confused,19,Male,Mobile,0.47,110
83ca38d3-432d-4868-aacf-3125b544f727,0047.jpg,Engaged,Confused,23,Female,Mobile,0.69,40
e35d8f79-1fdc-4262-85d5-6ebc181cf83d,0048.jpg,Engaged,Confused,19,Female,Tablet,0.41,79
06836a23-49f6-4220-886a-013da2028757,0049.jpg,Engaged,Confused,22,Female,Tablet,0.36,28
1db5ea42-2781-4a51-9242-f696e38f414b,0050.jpg,Engaged,Confused,22,Male,Mobile,0.65,84
7ad09796-8255-46d7-86b8-d54ee5455928,0051.jpg,Engaged,Confused,23,Male,Mobile,0.81,14
a0d58147-6a01-4130-a03c-3d35454bb577,0052.jpg,Engaged,Confused,22,Male,Mobile,0.31,37
d64deae8-b64e-46fc-8793-d83815754f2a,0053.jpg,Engaged,Confused,24,Female,Tablet,0.38,107
5469b487-eb55-4ae6-ba17-982a59062a05,0054.jpg,Engaged,Confused,23,Female,Laptop,0.36,20
bf8b9908-e1d1-4a64-a512-907d614bf852,0055.jpg,Engaged,Confused,21,Male,Tablet,0.77,110
d83a6742-45a2-42ea-a659-aaf5840ea1be,0056.jpg,Engaged,Confused,23,Female,Mobile,0.33,77
3dd66c27-5aa2-4a33-a8a3-3060fdb7279a,0057.jpg,Engaged,Confused,23,Male,Tablet,0.73,57
b4766a33-9a7e-44c6-baed-f354aa3da22a,0058.jpg,Engaged,Confused,24,Male,Mobile,0.52,49
0f8ccb3f-4a17-4d29-9834-10709c968603,0059.jpg,Engaged,Confused,19,Male,Laptop,0.31,12
1996e29b-e08d-4873-8df9-86cf613d4cb6,0060.jpg,Engaged,Confused,22,Female,Tablet,0.44,90
4a0f5c3f-2397-4db2-b88d-380808fb921f,0061.jpg,Engaged,Confused,21,Female,Tablet,0.87,87
2664e2ee-a05b-41f9-abcc-ecf793482190,0062.jpg,Engaged,Confused,18,Male,Mobile,0.8,91
189cfd59-9272-4e5f-b228-e534b13afecc,0063.jpg,Engaged,Confused,19,Male,Laptop,0.47,90
3f332952-9b4c-491a-b014-0a3733aa8a30,0064.jpg,Engaged,Confused,25,Male,Tablet,0.56,28
6d2f721c-c358-4308-9096-0bb3662fb2c6,0065.jpg,Engaged,Confused,20,Female,Mobile,0.4,76
